country,population
Aruba,105845
Afghanistan,37172386
Angola,30809762
Albania,2866376
Andorra,77006
Arab World,419790588
United Arab Emirates,9630959
Argentina,44494502
Armenia,2951776
American Samoa,55465
Antigua and Barbuda,96286
Australia,24992369
Austria,8847037
Azerbaijan,9942334
Burundi,11175378
Belgium,11422068
Benin,11485048
Burkina Faso,19751535
Bangladesh,161356039
Bulgaria,7024216
Bahrain,1569439
Bahamas,385640
Bosnia and Herz.,3323929
Belarus,9485386
Belize,383071
Bermuda,63968
Bolivia,11353142
Brazil,209469333
Barbados,286641
Brunei,428962
Bhutan,754394
Botswana,2254126
Central African Rep.,4666377
Canada,37058856
Central Europe and the Baltics,102511922
Switzerland,8516543
Channel Islands,170499
Chile,18729160
China,1392730000
Côte d'Ivoire,25069229
Cameroon,25216237
"Dem. Rep. Congo",84068091
"Congo",5244363
Colombia,49648685
Comoros,832322
Cabo Verde,543767
Costa Rica,4999441
Caribbean small states,7358965
Cuba,11338138
Curacao,159849
Cayman Islands,64174
Cyprus,1189265
Czechia,10625695
Germany,82927922
Djibouti,958920
Dominica,71625
Denmark,5797446
Dominican Republic,10627165
Algeria,42228429
Ecuador,17084357
Egypt,98423595
Euro area,341783171
Eritrea,4470000
Spain,46723749
Estonia,1320884
Ethiopia,109224559
European Union,513213363
Finland,5518050
Fiji,883483
France,66987244
Faroe Islands,48497
Micronesia,112640
Gabon,2119275
United Kingdom,66488991
Georgia,3731000
Ghana,29767108
Gibraltar,33718
Guinea,12414318
Gambia,2280102
Guinea-Bissau,1874309
Eq. Guinea,1308974
Greece,10727668
Grenada,111454
Greenland,56025
Guatemala,17247807
Guam,165768
Guyana,779004
Hong Kong,7451000
Honduras,9587522
Croatia,4089400
Haiti,11123176
Hungary,9768785
Indonesia,267663435
Isle of Man,84077
Vatican, 1000
India,1352617328
Ireland,4853506
Iran,81800269
Iraq,38433600
Iceland,353574
Israel,8883800
Italy,60431283
Jamaica,2934855
Jordan,9956011
Japan,126529100
Kazakhstan,18276499
Kenya,51393010
Kyrgyzstan,6315800
Cambodia,16249798
Kiribati,115847
St. Kitts and Nevis,52441
South Korea,51635256
Palestine, 5052000
Kuwait,4137309
Lao PDR,7061507
Lebanon,6848925
Liberia,4818977
Libya,6678567
St. Lucia,181889
Liechtenstein,37910
Sri Lanka,21670000
Lesotho,2108132
Lithuania,2789533
Luxembourg,607728
Latvia,1926542
Macao,631636
St. Martin (French part),37264
Morocco,36029138
Monaco,38682
Moldova,3545883
Madagascar,26262368
Maldives,515696
Mexico,126190788
Marshall Islands,58413
Macedonia,2082958
Mali,19077690
Malta,483530
Myanmar,53708395
Montenegro,622345
Mongolia,3170208
Northern Mariana Islands,56882
Mozambique,29495962
Mauritania,4403319
Mauritius,1265303
Malawi,18143315
Malaysia,31528585
North America,364290258
Namibia,2448255
New Caledonia,284060
Niger,22442948
Nigeria,195874740
Nicaragua,6465513
Netherlands,17231017
Norway,5314336
Nepal,28087871
Nauru,12704
New Zealand,4885500
Oman,4829483
Pakistan,212215030
Panama,4176873
Peru,31989256
Philippines,106651922
Palau,17907
Papua New Guinea,8606316
Poland,37978548
Puerto Rico,3195153
"Korea, Dem. People’s Rep.",25549819
Portugal,10281762
Paraguay,6956071
West Bank and Gaza,4569087
Pacific island small states,2457367
French Polynesia,277679
Qatar,2781677
Romania,19473936
Russia,144478050
Rwanda,12301939
South Asia,1814388744
Saudi Arabia,33699947
Sudan,41801533
Senegal,15854360
Singapore,5638676
Solomon Islands,652858
Sierra Leone,7650154
El Salvador,6420744
San Marino,33785
Somalia,15008154
Serbia,6982084
Sub-Saharan Africa (excluding high income),1078209758
South Sudan,10975920
Sub-Saharan Africa,1078306520
Small states,40575321
Sao Tome and Principe,211028
Suriname,575991
Slovakia,5447011
Slovenia,2067372
Sweden,10183175
eSwatini,1136191
Sint Maarten (Dutch part),40654
Seychelles,96762
Syrian Arab Republic,16906283
Turks and Caicos Islands,37665
Chad,15477751
Togo,7889094
Thailand,69428524
Tajikistan,9100837
Turkmenistan,5850908
Timor-Leste,1267972
Tonga,103197
Trinidad and Tobago,1389858
Tunisia,11565204
Turkey,82319724
Tuvalu,11508
Tanzania,56318348
Uganda,42723139
Ukraine,44622516
Upper middle income,2655635719
Uruguay,3449299
United States of America,327167434
Uzbekistan,32955400
St. Vincent and the Grenadines,110210
Venezuela,28870195
British Virgin Islands,29802
Virgin Islands,106977
Vietnam,95540395
Vanuatu,292680
World,7594270356
Samoa,196130
Kosovo,1845300
Yemen,28498687
South Africa,57779622
Zambia,17351822
Zimbabwe,14439018
